======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE   1791   1.182082e+02   6.427127e+00   1.229777e+05   6.648101e+02  -8.322776e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.231396e+05   6.803329e-01   3.394778e-01   4.085693e-01
 POSE   1792   1.237858e+02   6.427127e+00   1.253491e+05   6.127036e+02  -8.352221e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.254615e+05   4.748755e-01   3.394778e-01   1.805912e-01
 POSE   1793   1.310053e+02   6.427127e+00   7.489135e+04   4.801233e+02  -8.288279e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.488481e+04   5.305543e-01   3.394778e-01   1.963101e-01
 POSE   1794   1.258092e+02   6.427127e+00   2.673027e+03   5.721362e+02  -8.326987e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.749433e+03   5.520711e-01   3.394778e-01   2.685535e-01
 POSE   1795   1.347809e+02   6.427127e+00   6.824960e+03   5.489309e+02  -8.334382e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.886393e+03   6.624112e-01   3.394778e-01   1.613776e-01
 POSE   1796   1.186712e+02   6.427127e+00   8.244770e+03   5.139630e+02  -8.356124e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.252950e+03   7.337151e-01   3.394778e-01   1.451019e-01
 POSE   1797   1.399115e+02   6.427127e+00   3.392928e+03   5.685227e+02  -8.326570e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.479864e+03   7.450256e-01   3.394778e-01   2.866124e-01
 POSE   1798   1.244230e+02   6.427127e+00   1.894109e+04   5.793524e+02  -8.340790e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.902194e+04   6.283702e-01   3.394778e-01   4.041104e-01
 POSE   1799   1.358426e+02   6.427127e+00   1.316390e+03   6.118397e+02  -8.313289e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.443903e+03   4.833483e-01   3.394778e-01   1.697669e-01
 POSE   1800   1.215224e+02   6.427127e+00   7.933807e+04   4.905191e+02  -8.298073e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.933147e+04   4.333150e-01   3.394778e-01   3.193110e-01
 POSE   1801   1.119682e+02   6.427127e+00   7.391204e+04   4.944699e+02  -8.379921e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.389165e+04   5.462455e-01   3.394778e-01   2.391363e-01
 POSE   1802   1.110432e+02   6.427127e+00   5.860103e+03   5.948199e+02  -8.376354e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.939490e+03   7.212700e-01   3.394778e-01   2.585413e-01
 POSE   1803   1.311343e+02   6.427127e+00   9.112729e+01   5.723825e+02  -8.323698e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.734333e+02   5.986065e-01   3.394778e-01   1.347899e-01
 POSE   1804   1.277315e+02   6.427127e+00   9.260188e+04   4.815271e+02  -8.329102e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.258939e+04   6.053504e-01   3.394778e-01   2.814750e-01
 POSE   1805   1.174230e+02   6.427127e+00   3.296597e+04   7.423835e+02  -8.371595e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.319977e+04   5.276615e-01   3.394778e-01   3.173770e-01
 POSE   1806   1.406063e+02   6.427127e+00   1.752045e+03   5.425975e+02  -8.318689e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.814538e+03   7.460167e-01   3.394778e-01   1.979480e-01
 POSE   1807   1.389454e+02   6.427127e+00   1.321059e+03   6.215312e+02  -8.329736e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.459721e+03   6.570346e-01   3.394778e-01   1.936218e-01
 POSE   1808   1.292426e+02   6.427127e+00   1.213857e+05   4.163029e+02  -8.353133e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.213071e+05   5.743757e-01   3.394778e-01   3.607095e-01
 POSE   1809   1.271906e+02   6.427127e+00   2.502051e+04   5.716477e+02  -8.368217e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.509368e+04   2.871141e-01   3.394778e-01   2.667574e-01
 POSE   1810   1.264571e+02   6.427127e+00   1.014985e+05   6.674088e+02  -8.339739e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.016696e+05   5.038982e-01   3.394778e-01   2.445942e-01
 POSE   1811   1.276426e+02   6.427127e+00   4.636914e+04   5.419743e+02  -8.337083e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.641620e+04   4.007223e-01   3.394778e-01   3.487037e-01
 POSE   1812   1.241096e+02   6.427127e+00   2.631850e+04   5.400408e+02  -8.319631e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.636184e+04   2.288178e-01   3.394778e-01   3.280898e-01
 POSE   1813   1.191989e+02   6.427127e+00   7.974425e+04   6.199322e+02  -8.317961e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.986274e+04   5.048566e-01   3.394778e-01   3.187038e-01
 POSE   1814   1.317226e+02   6.427127e+00   2.769325e+04   5.961496e+02  -8.347253e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.779756e+04   5.878954e-01   3.394778e-01   3.660707e-01
 POSE   1815   1.412314e+02   6.427127e+00   2.375785e+04   5.546465e+02  -8.313659e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.383352e+04   5.385044e-01   3.394778e-01   2.658601e-01
 POSE   1816   1.172186e+02   6.427127e+00   1.501776e+05   6.392204e+02  -8.345466e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.503107e+05   6.255098e-01   3.394778e-01   3.447242e-01
 POSE   1817   1.168369e+02   6.427127e+00   1.091524e+04   6.026946e+02  -8.361639e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.100976e+04   5.685259e-01   3.394778e-01   2.467467e-01
 POSE   1818   1.406414e+02   6.427127e+00   8.803361e+03   5.854590e+02  -8.309806e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.909640e+03   7.255737e-01   3.394778e-01   2.309332e-01
 POSE   1819   1.110253e+02   6.427127e+00   3.180747e+04   5.329439e+02  -8.326242e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.182997e+04   5.816907e-01   3.394778e-01   2.628702e-01
 POSE   1820   1.283753e+02   6.427127e+00   1.804737e+05   6.391475e+02  -8.320398e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.806203e+05   7.030890e-01   3.394778e-01   3.660418e-01
 POSE   1821   1.221068e+02   6.427127e+00   5.528894e+04   5.787404e+02  -8.339984e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.536694e+04   5.602199e-01   3.394778e-01   2.757876e-01
 POSE   1822   1.290526e+02   6.427127e+00   5.641199e+03   4.557283e+02  -8.302488e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.606890e+03   6.945581e-01   3.394778e-01   2.843910e-01
 POSE   1823   1.158376e+02   6.427127e+00   2.383193e+04   5.518414e+02  -8.352494e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.387552e+04   6.979775e-01   3.394778e-01   3.453973e-01
 POSE   1824   1.230013e+02   6.427127e+00   4.532052e+03   6.356463e+02  -8.365630e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.665295e+03   6.228194e-01   3.394778e-01   1.491526e-01
 POSE   1825   1.213442e+02   6.427127e+00   2.759316e+04   4.928278e+02  -8.359847e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.758250e+04   5.596388e-01   3.394778e-01   2.638235e-01
 POSE   1826   1.333708e+02   6.427127e+00   4.152527e+03   6.217197e+02  -8.329170e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.285859e+03   5.191548e-01   3.394778e-01   2.782570e-01
 POSE   1827   1.287444e+02   6.427127e+00   4.272843e+03   4.278066e+02  -8.306155e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.209937e+03   6.937164e-01   3.394778e-01   1.818941e-01
 POSE   1828   1.398077e+02   6.427127e+00   1.214609e+04   5.711504e+02  -8.323978e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.223580e+04   5.178517e-01   3.394778e-01   3.597160e-01
 POSE   1829   1.239933e+02   6.427127e+00  -3.899600e+01   5.081455e+02  -8.331729e+02   0.000000e+00   0.000000e+00   0.000000e+00  -2.887112e+01   6.866868e-01   3.394778e-01   7.822972e-02
 POSE   1830   1.317436e+02   6.427127e+00   4.477131e+03   5.505901e+02  -8.285167e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.542107e+03   4.819150e-01   3.394778e-01   2.148961e-01
 POSE   1831   1.217276e+02   6.427127e+00   1.768282e+03   6.251563e+02  -8.352547e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.891070e+03   5.415688e-01   3.394778e-01   1.348867e-01
 POSE   1832   1.265780e+02   6.427127e+00   2.845885e+04   5.043291e+02  -8.310539e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.846986e+04   6.176324e-01   3.394778e-01   2.318908e-01
 POSE   1833   1.326620e+02   6.427127e+00   2.039437e+04   6.350424e+02  -8.310265e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.054221e+04   6.732563e-01   3.394778e-01   2.769764e-01
 POSE   1834   1.301514e+02   6.427127e+00   1.324965e+04   6.456412e+02  -8.336372e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.340296e+04   7.107978e-01   3.394778e-01   2.875824e-01
 POSE   1835   1.384558e+02   6.427127e+00   9.239709e+02   3.574380e+02  -8.343592e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.966645e+02   6.990556e-01   3.394778e-01   1.382365e-01
 POSE   1836   1.296072e+02   6.427127e+00   3.878406e+04   5.462430e+02  -8.334653e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.883760e+04   6.836476e-01   3.394778e-01   1.712794e-01
 POSE   1837   1.259505e+02   6.427127e+00   1.243797e+05   6.621319e+02  -8.303054e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.245487e+05   4.131124e-01   3.394778e-01   3.903976e-01
 POSE   1838   1.162009e+02   6.427127e+00   1.958937e+03   4.786752e+02  -8.325897e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.932382e+03   7.329795e-01   3.394778e-01   1.088759e-01
 POSE   1839   1.208228e+02   6.427127e+00   8.845362e+04   5.559633e+02  -8.353921e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.850617e+04   7.271220e-01   3.394778e-01   2.423126e-01
 POSE   1840   1.242520e+02   6.427127e+00   3.402038e+04   5.917373e+02  -8.316611e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.411587e+04   4.340946e-01   3.394778e-01   3.585322e-01
 POSE   1841   1.339937e+02   6.427127e+00   1.700504e+04   6.461403e+02  -8.301346e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.716619e+04   4.349401e-01   3.394778e-01   3.241774e-01
 POSE   1842   1.320742e+02   6.427127e+00   7.664603e+02   5.387260e+02  -8.330351e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.153844e+02   6.551174e-01   3.394778e-01   1.816947e-01
 POSE   1843   1.357557e+02   6.427127e+00   3.081575e+03   5.832396e+02  -8.319939e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.179735e+03   4.420349e-01   3.394778e-01   2.267163e-01
 POSE   1844   1.293623e+02   6.427127e+00   1.766339e+05   6.617749e+02  -8.341622e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.768021e+05   6.135840e-01   3.394778e-01   3.348941e-01
 POSE   1845   1.105518e+02   6.427127e+00   1.447015e+05   4.516510e+02  -8.376057e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.446373e+05   5.190489e-01   3.394778e-01   4.947313e-01
 POSE   1846   1.279746e+02   6.427127e+00   2.738285e+04   5.949166e+02  -8.356535e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.748125e+04   5.577252e-01   3.394778e-01   3.061441e-01
 POSE   1847   1.428192e+02   6.427127e+00   4.574985e+03   4.792203e+02  -8.312707e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.576912e+03   6.410436e-01   3.394778e-01   1.655553e-01
 POSE   1848   1.280042e+02   6.427127e+00   2.849313e+05   4.937759e+02  -8.331857e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.849311e+05   7.030397e-01   3.394778e-01   4.548901e-01
 POSE   1849   1.427191e+02   6.427127e+00   2.202893e+05   5.924650e+02  -8.341175e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.204015e+05   6.746887e-01   3.394778e-01   3.760811e-01
 POSE   1850   1.176533e+02   6.427127e+00   2.886807e+04   3.776711e+02  -8.323504e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.874220e+04   7.349875e-01   3.394778e-01   2.397828e-01
 POSE   1851   1.375126e+02   6.427127e+00   5.887766e+03   5.581613e+02  -8.337496e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.960849e+03   6.926824e-01   3.394778e-01   2.033033e-01
 POSE   1852   1.258900e+02   6.427127e+00   9.525696e+02   6.057083e+02  -8.332922e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.062035e+03   4.447370e-01   3.394778e-01   9.282521e-02
 POSE   1853   1.349150e+02   6.427127e+00   8.717835e+04   6.194321e+02  -8.336678e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.731018e+04   6.628494e-01   3.394778e-01   4.203310e-01
 POSE   1854   1.137672e+02   6.427127e+00   1.514384e+04   5.882853e+02  -8.368073e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.522024e+04   6.566661e-01   3.394778e-01   2.584589e-01
 POSE   1855   1.360064e+02   6.427127e+00   6.921584e+03   5.353059e+02  -8.330503e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.971006e+03   7.096813e-01   3.394778e-01   3.332071e-01
 POSE   1856   1.295444e+02   6.427127e+00   4.436836e+04   5.222681e+02  -8.291816e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.440215e+04   5.381204e-01   3.394778e-01   2.711670e-01
 POSE   1857   1.295530e+02   6.427127e+00   6.157233e+04   4.432262e+02  -8.327765e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.152349e+04   6.253745e-01   3.394778e-01   2.393408e-01
 POSE   1858   1.372964e+02   6.427127e+00   1.937343e+03   5.725469e+02  -8.319214e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.026424e+03   6.490625e-01   3.394778e-01   2.843551e-01
 POSE   1859   1.184106e+02   6.427127e+00   4.099112e+04   4.413589e+02  -8.321930e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.092986e+04   7.583170e-01   3.394778e-01   2.060267e-01
 POSE   1860   1.231051e+02   6.427127e+00   1.518897e+02   4.043910e+02  -8.364833e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.406145e+01   6.771414e-01   3.394778e-01   1.502298e-01
 POSE   1861   1.248969e+02   6.427127e+00   2.773978e+03   6.077411e+02  -8.352926e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.882482e+03   4.441523e-01   3.394778e-01   1.216950e-01
 POSE   1862   1.289591e+02   6.427127e+00   4.473388e+03   5.068071e+02  -8.317618e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.488552e+03   6.873186e-01   3.394778e-01   1.315106e-01
 POSE   1863   1.197568e+02   6.427127e+00   2.469649e+05   4.841530e+02  -8.322337e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.469478e+05   6.776415e-01   3.394778e-01   2.903187e-01
 POSE   1864   1.133624e+02   6.427127e+00   1.267580e+04   4.343112e+02  -8.321237e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.260250e+04   7.035788e-01   3.394778e-01   3.073130e-01
 POSE   1865   1.264416e+02   6.427127e+00   9.557602e+04   6.147489e+02  -8.360730e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.569230e+04   4.204938e-01   3.394778e-01   4.050684e-01
 POSE   1866   1.353868e+02   6.427127e+00   2.733914e+04   5.642849e+02  -8.313005e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.741867e+04   6.266224e-01   3.394778e-01   2.096629e-01
 POSE   1867   1.173482e+02   6.427127e+00   2.802211e+04   5.178786e+02  -8.363975e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.803210e+04   7.227069e-01   3.394778e-01   1.937570e-01
 POSE   1868   1.334388e+02   6.427127e+00   5.629017e+03   5.432479e+02  -8.333457e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.683517e+03   4.044452e-01   3.394778e-01   2.599727e-01
 POSE   1869   1.427030e+02   6.427127e+00   8.247366e+03   4.415398e+02  -8.327677e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.210000e+03   5.169279e-01   3.394778e-01   2.202561e-01
 POSE   1870   1.195702e+02   6.427127e+00   7.430526e+04   5.479082e+02  -8.318725e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.435203e+04   3.872680e-01   3.394778e-01   3.988427e-01
 POSE   1871   1.161567e+02   6.427127e+00   1.931901e+04   5.834113e+02  -8.373858e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.939236e+04   5.686941e-01   3.394778e-01   2.475796e-01
 POSE   1872   1.404037e+02   6.427127e+00   6.081580e+04   5.296172e+02  -8.331124e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.086387e+04   6.901692e-01   3.394778e-01   3.299512e-01
 POSE   1873   1.275059e+02   6.427127e+00   4.077083e+03   6.358988e+02  -8.347988e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.216848e+03   5.483474e-01   3.394778e-01   2.059412e-01
 POSE   1874   1.239167e+02   6.427127e+00   6.961490e+04   5.199227e+02  -8.293289e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.964057e+04   4.979382e-01   3.394778e-01   2.276159e-01
 POSE   1875   1.206507e+02   6.427127e+00   6.452954e+02   5.852812e+02  -8.325094e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.298769e+02   5.231195e-01   3.394778e-01   1.732158e-01
 POSE   1876   1.341770e+02   6.427127e+00   9.977947e+03   6.488851e+02  -8.347764e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.013739e+04   4.505308e-01   3.394778e-01   1.967545e-01
 POSE   1877   1.336015e+02   6.427127e+00   7.663253e+04   4.215906e+02  -8.278326e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.657105e+04   6.111622e-01   3.394778e-01   2.561641e-01
 POSE   1878   1.341040e+02   6.427127e+00   3.750535e+04   5.498852e+02  -8.280027e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.757250e+04   5.260178e-01   3.394778e-01   2.253835e-01
 POSE   1879   1.270315e+02   6.427127e+00   1.023124e+05   5.245120e+02  -8.356891e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.023394e+05   6.670843e-01   3.394778e-01   4.240136e-01
 POSE   1880   1.234134e+02   6.427127e+00   2.454167e+03   5.794238e+02  -8.359469e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.532216e+03   5.496529e-01   3.394778e-01   2.812860e-01
 POSE   1881   1.396240e+02   6.427127e+00   5.692151e+03   5.184578e+02  -8.342228e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.727169e+03   6.289962e-01   3.394778e-01   1.915465e-01
 POSE   1882   1.221435e+02   6.427127e+00   2.018835e+04   5.403425e+02  -8.332858e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.022871e+04   6.840035e-01   3.394778e-01   2.450001e-01
 POSE   1883   1.315709e+02   6.427127e+00   8.334477e+04   6.799701e+02  -8.338104e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.353365e+04   6.956862e-01   3.394778e-01   2.401390e-01
 POSE   1884   1.292088e+02   6.427127e+00   4.411932e+04   3.822469e+02  -8.348511e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.400709e+04   5.858028e-01   3.394778e-01   2.551434e-01
 POSE   1885   1.279947e+02   6.427127e+00   9.839550e+02   5.100571e+02  -8.366220e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.965437e+02   7.235087e-01   3.394778e-01   1.099126e-01
 POSE   1886   1.350025e+02   6.427127e+00   6.228653e+04   6.640022e+02  -8.305286e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.246617e+04   4.760268e-01   3.394778e-01   1.746269e-01
 POSE   1887   1.237229e+02   6.427127e+00   1.252565e+05   4.919386e+02  -8.326973e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.252506e+05   4.759877e-01   3.394778e-01   3.357460e-01
 POSE   1888   1.341133e+02   6.427127e+00   6.744634e+03   5.162160e+02  -8.354198e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.770703e+03   3.479991e-01   3.394778e-01   1.653370e-01
 POSE   1889   1.190038e+02   6.427127e+00   3.531318e+02   3.330445e+02  -8.322635e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.840756e+02   6.979460e-01   3.394778e-01   1.226366e-01
 POSE   1890   1.296188e+02   6.427127e+00   8.172628e+04   4.709813e+02  -8.341892e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.170385e+04   7.177343e-01   3.394778e-01   2.500076e-01
 POSE   1891   1.333551e+02   6.427127e+00   1.798587e+04   5.498116e+02  -8.285141e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.805168e+04   5.988662e-01   3.394778e-01   2.463077e-01
 POSE   1892   1.415870e+02   6.427127e+00   3.643137e+04   4.745077e+02  -8.303986e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.642822e+04   6.697773e-01   3.394778e-01   2.965735e-01
 POSE   1893   1.278949e+02   6.427127e+00   4.323130e+04   4.730822e+02  -8.365837e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.320685e+04   6.031872e-01   3.394778e-01   2.867807e-01
 POSE   1894   1.252710e+02   6.427127e+00   8.210808e+04   5.538174e+02  -8.292211e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.216911e+04   5.985421e-01   3.394778e-01   2.566556e-01
 POSE   1895   1.274798e+02   6.427127e+00   1.891799e+04   4.481521e+02  -8.354101e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.886937e+04   5.904024e-01   3.394778e-01   2.671503e-01
 POSE   1896   1.238215e+02   6.427127e+00   3.194109e+03   5.753299e+02  -8.325989e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.271821e+03   6.388526e-01   3.394778e-01   2.023249e-01
 POSE   1897   1.245521e+02   6.427127e+00   1.709927e+04   6.199681e+02  -8.308209e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.722413e+04   5.842662e-01   3.394778e-01   2.871633e-01
